No,Jenis BMN,Kode Satker,Nama Satker,Kode Barang,NUP,Nama Barang,Merk,Tipe,Kondisi,Nama,Tanggal Perolehan,Nilai Perolehan,Nilai Buku,Status Penggunaan,gps_latitude,gps_longitude,Alamat,RT/RW,Kelurahan/Desa,Kecamatan,Kab/Kota,Provinsi,Nama K/L,Kode Register,KELOMPOK BMN,Kelompok Indeks,Indeks Total,Start_date,Nilai Premi
132,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010202007,1,Rumah Negara Golongan II Tipe C Permanen,"KOMPLEK BPK V GANDUL, DEPOK",,Baik,"KOMPLEK BPK V GANDUL, DEPOK",1975-02-09,"298.025.000,00",0,Digunakan sendiri untuk operasional,,,KOMPLEK BPK V BLOK R NO. 18,003/009,GANDUL,CINERE,KOTA DEPOK,JAWA BARAT,"0,5",E2AA275BFF602BB7E0531561F20A8614,BMN PREFEREN NOMINATIF,3,"0,5",,"584427,025"
134,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010202016,2,Rumah Negara Golongan II Berupa Mess/Asrama,MESS,MESS,Baik,MESS MESS,2016-01-11,"2.218.077.644,00",1818823672,Digunakan sendiri untuk operasional,,,Jalan Hamkam Raya Bambu Apus,03/02,CEGER,CEGER,KOTA JAKARTA TIMUR,DKI JAKARTA,"0,5",E2AA275BFF822BB7E0531561F20A8614,BMN PREFEREN NOMINATIF,3,"0,5",,"4349650,26"
135,RUMAH NEGARA,004010199003019000KP,SETJEN BPK RI,4010202016,3,Rumah Negara Golongan II Berupa Mess/Asrama,MESS,MESS,Baik,MESS MESS,1999-02-09,"692.148.650,00",468893366,Digunakan sendiri untuk operasional,,,Jalan Pejompongan,-/-,BENDUNGAN HILIR,TANAH ABANG,KOTA JAKARTA PUSAT,DKI JAKARTA,"0,5",E2AA275BFF5E2BB7E0531561F20A8614,BMN PREFEREN NOMINATIF,3,"0,5",,"1357303,503"
137,RUMAH NEGARA,004010200450799000KD,BPK PERWAKILAN PROVINSI JAWA BARAT,4010201004,2,Rumah Negara Golongan I Tipe B Permanen,RUMAH JABATAN KALAN,0,Baik,RUMAH JABATAN KALAN 0,2010-12-31,"1.373.552.200,00",1145580400,Digunakan sendiri untuk operasional,,,Cipaganti Permai No.3 Bandung,-,Cipaganti,Coblong,KOTA BANDUNG,JAWA BARAT,"0,5",E2AA275BFC352C09E0531561F20A836A,BMN PREFEREN NOMINATIF,3,"0,5",,"2693535,864"
139,RUMAH NEGARA,004010200450799000KD,BPK PERWAKILAN PROVINSI JAWA BARAT,4010201007,5,Rumah Negara Golongan I Tipe C Permanen,,,Baik,,2007-12-10,"481.421.770,00",312924148,Digunakan sendiri untuk operasional,,,,,,,,,"0,5",E2AA275BFC372C09E0531561F20A836A,BMN PREFEREN NOMINATIF,3,"0,5",,"944068,091"
140,RUMAH NEGARA,004010200450799000KD,BPK PERWAKILAN PROVINSI JAWA BARAT,4010201007,6,Rumah Negara Golongan I Tipe C Permanen,,,Baik,,2007-12-10,"411.762.200,00",267645430,Digunakan sendiri untuk operasional,,,,,,,,,"0,5",E2AA275BFC452C09E0531561F20A836A,BMN PREFEREN NOMINATIF,3,"0,5",,"807465,6742"
142,RUMAH NEGARA,004010200450799000KD,BPK PERWAKILAN PROVINSI JAWA BARAT,4010201010,1,Rumah Negara Golongan I Tipe D Permanen,,54,Baik,54,2007-12-10,"419.398.900,00",366650557,Digunakan sendiri untuk operasional,,,Lapangan Tembak No. C1,-,Cikutra,Cibeunying Kidul,KOTA BANDUNG,JAWA BARAT,"0,5",E2AA275BFC382C09E0531561F20A836A,BMN PREFEREN NOMINATIF,3,"0,5",,"822441,2429"
145,RUMAH NEGARA,004010200450799000KD,BPK PERWAKILAN PROVINSI JAWA BARAT,4010201010,5,Rumah Negara Golongan I Tipe D Permanen,,54,Baik,54,2007-12-10,"219.816.000,00",178600500,Digunakan sendiri untuk operasional,,,Lapangan Tembak No. C5,-,Cikutra,Cibeunying Kidul,KOTA BANDUNG,JAWA BARAT,"0,5",E2AA275BFC462C09E0531561F20A836A,BMN PREFEREN NOMINATIF,3,"0,5",,"431059,176"
154,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201007,5,Rumah Negara Golongan I Tipe C Permanen,Rujab Mega Residence,Permanen,Baik,Rujab Mega Residence Permanen,2011-11-23,"217.291.000,00",160005257,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav. 5,16/06,PUDAK PAYUNG,BANYUMANIK,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADC83F1EE0531661F20A1C14,BMN PREFEREN NOMINATIF,3,"0,5",,"426107,651"
156,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201010,2,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Jabatan,Permanen,Baik,Rumah Dinas Jabatan Permanen,2011-11-23,"199.134.457,00",152954876,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav.7,16/06,Pudak Payung,Banyumanik,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADCE3F1EE0531661F20A1C14,BMN PREFEREN NOMINATIF,3,"0,5",,"390502,6702"
160,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201010,6,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Jabatan,Permanen,Baik,Rumah Dinas Jabatan Permanen,2011-11-23,"173.639.000,00",128139297,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav. 11,16/06,Pudak Payung,Banyumanik,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADD93F1EE0531661F20A1C14,BMN PREFEREN NOMINATIF,3,"0,5",,"340506,079"
161,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201010,7,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Jabatan,Permanen,Baik,Rumah Dinas Jabatan Permanen,2011-11-23,"173.639.000,00",128139297,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav. 12,16/06,Pudak Payung,Banyumanik,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADC03F1EE0531661F20A1C14,BMN PREFEREN NOMINATIF,3,"0,5",,"340506,079"
163,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201010,9,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Jabatan,Permanen,Baik,Rumah Dinas Jabatan Permanen,2011-11-23,"173.639.000,00",128139297,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav. 14,16/06,Pudak Payung,Banyumanik,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADC13F1EE0531661F20A1C14,BMN PREFEREN NOMINATIF,3,"0,5",,"340506,079"
165,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201010,11,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Jabatan,Permanen,Baik,Rumah Dinas Jabatan Permanen,2011-11-23,"173.639.000,00",128139297,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav. 16,16/06,Pudak Payung,Banyumanik,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADD23F1EE0531661F20A1C14,BMN PREFEREN NOMINATIF,3,"0,5",,"340506,079"
167,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010201010,13,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Jabatan,Permanen,Baik,Rumah Dinas Jabatan Permanen,2011-11-23,"173.639.000,00",128139297,Digunakan sendiri untuk operasional,,,Jl. Lavender Garden Kav. 18,16/06,Pudak Payung,Banyumanik,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADC23F1EE0531661F20A1C14,BMN PREFEREN NOMINATIF,3,"0,5",,"340506,079"
168,RUMAH NEGARA,004010300890594000KD,BADAN PEMERIKSA KEUANGAN RI PERWAKILAN PROVINSI JAWA TENGAH,4010202016,1,Rumah Negara Golongan II Berupa Mess/Asrama,Mess/Asrama,Wisma/Mess,Baik,Mess/Asrama Wisma/Mess,2014-12-30,"8.358.601.900,00",6606291024,Digunakan sendiri untuk operasional,,,,-,Pudak Payung,Banyumanik,KOTA SEMARANG,JAWA TENGAH,"0,5",E1063820ADCA3F1EE0531661F20A1C14,BMN PREFEREN NOMINATIF,3,"0,5",,"16391218,33"
169,RUMAH NEGARA,004010400003030000KD,BPK RI PERWAKILAN PROVINSI DIY (01. SEKJEN),4010201007,1,Rumah Negara Golongan I Tipe C Permanen,,70,Baik,70,2006-12-15,"208.714.200,00",171481602,Digunakan sendiri untuk operasional,,,DEMAKAN,34/09,TEGALREJO,TEGALREJO,KOTA YOGYAKARTA,DI YOGYAKARTA,"0,5",E1063826BE973BB9E0531561F20A0A4B,BMN PREFEREN NOMINATIF,3,"0,5",,"409288,5462"
171,RUMAH NEGARA,004010400003030000KD,BPK RI PERWAKILAN PROVINSI DIY (01. SEKJEN),4010201010,3,Rumah Negara Golongan I Tipe D Permanen,,50,Baik,50,2006-12-15,"199.322.700,00",165260856,Digunakan sendiri untuk operasional,,,DEMAKAN,34/09,TEGALREJO,TEGALREJO,KOTA YOGYAKARTA,DI YOGYAKARTA,"0,5",E1063826BE9B3BB9E0531561F20A0A4B,BMN PREFEREN NOMINATIF,3,"0,5",,"390871,8147"
172,RUMAH NEGARA,004010400003030000KD,BPK RI PERWAKILAN PROVINSI DIY (01. SEKJEN),4010201010,4,Rumah Negara Golongan I Tipe D Permanen,,50,Baik,50,2006-12-15,"200.188.000,00",166017994,Digunakan sendiri untuk operasional,,,DEMAKAN,34/09,TEGALREJO,TEGALREJO,KOTA YOGYAKARTA,DI YOGYAKARTA,"0,5",E1063826BEAF3BB9E0531561F20A0A4B,BMN PREFEREN NOMINATIF,3,"0,5",,"392568,668"
174,RUMAH NEGARA,004010400003030000KD,BPK RI PERWAKILAN PROVINSI DIY (01. SEKJEN),4010201010,6,Rumah Negara Golongan I Tipe D Permanen,,50,Baik,50,2006-12-15,"193.918.200,00",160531914,Digunakan sendiri untuk operasional,,,DEMAKAN,34/09,TEGALREJO,TEGALREJO,KOTA YOGYAKARTA,DI YOGYAKARTA,"0,5",E1063826BE9C3BB9E0531561F20A0A4B,BMN PREFEREN NOMINATIF,3,"0,5",,"380273,5902"
179,RUMAH NEGARA,004010400003030000KD,BPK RI PERWAKILAN PROVINSI DIY (01. SEKJEN),4010202004,1,Rumah Negara Golongan II Tipe B Permanen,,120,Baik,120,1988-04-05,"807.543.000,00",422229083,Digunakan sendiri untuk operasional,,,JL HOS COKROAMINOTO,01/01,Tegalrejo,Tegalrejo,KOTA YOGYAKARTA,DI YOGYAKARTA,"0,5",E1063826BEB23BB9E0531561F20A0A4B,BMN PREFEREN NOMINATIF,3,"0,5",,"1583591,823"
180,RUMAH NEGARA,004010400003030000KD,BPK RI PERWAKILAN PROVINSI DIY (01. SEKJEN),4010202004,2,Rumah Negara Golongan II Tipe B Permanen,,120,Baik,120,1988-04-05,"343.773.000,00",218002395,Digunakan sendiri untuk operasional,,,"Jalan Bener, Tegalrejo",01/01,Tegalrejo,Tegalrejo,KAB. BANTUL,DI YOGYAKARTA,"0,5",E1063826BE9E3BB9E0531561F20A0A4B,BMN PREFEREN NOMINATIF,3,"0,5",,"674138,853"
182,RUMAH NEGARA,004010400003030000KD,BPK RI PERWAKILAN PROVINSI DIY (01. SEKJEN),4010202010,1,Rumah Negara Golongan II Tipe D Permanen,,36/120,Baik,36/120,1988-04-05,"84.720.000,00",53724879,Digunakan sendiri untuk operasional,,,Bener,01/01,Tegqlrejo,Tegalrejo,KOTA YOGYAKARTA,DI YOGYAKARTA,"0,5",E1063826BEB33BB9E0531561F20A0A4B,BMN PREFEREN NOMINATIF,3,"0,5",,"166135,92"
183,RUMAH NEGARA,004010400003030000KD,BPK RI PERWAKILAN PROVINSI DIY (01. SEKJEN),4010202013,1,Rumah Negara Golongan II Tipe E Permanen,,36/100,Baik,36/100,1988-04-05,"72.031.000,00",45678191,Digunakan sendiri untuk operasional,,,Kompleks Perumahan BPK,01/01,Tegalrejo,Tegalrejo,KOTA YOGYAKARTA,DI YOGYAKARTA,"0,5",E1063826BE963BB9E0531561F20A0A4B,BMN PREFEREN NOMINATIF,3,"0,5",,"141252,791"
189,RUMAH NEGARA,004010500450800000KD,BPK PERWAKILAN PROVINSI JAWA TIMUR,4010201007,2,Rumah Negara Golongan I Tipe C Permanen,Rumah Jabatan Eselon 3,90,Baik,Rumah Jabatan Eselon 3 90,2012-04-04,"239.562.000,00",199186380,Digunakan sendiri untuk operasional,,,"Perumahan Permata Juanda No. D-2 (Desa Betro, Sedati, Sidoarjo)",,Betro,Sedati,KAB. SIDOARJO,JAWA TIMUR,"0,5",E1063837C4ECDA50E0531261F20A2937,BMN PREFEREN NOMINATIF,3,"0,5",,"469781,082"
190,RUMAH NEGARA,004010500450800000KD,BPK PERWAKILAN PROVINSI JAWA TIMUR,4010201007,3,Rumah Negara Golongan I Tipe C Permanen,Rumah Jabatan Eselon 3,90,Baik,Rumah Jabatan Eselon 3 90,2012-04-04,"239.562.000,00",199186380,Digunakan sendiri untuk operasional,,,"Perumahan Permata Juanda No. D-3 (Desa Betro, Sedati, Sidoarjo)",,Betro,Sedati,KAB. SIDOARJO,JAWA TIMUR,"0,5",E1063837C4FBDA50E0531261F20A2937,BMN PREFEREN NOMINATIF,3,"0,5",,"469781,082"
191,RUMAH NEGARA,004010500450800000KD,BPK PERWAKILAN PROVINSI JAWA TIMUR,4010201007,4,Rumah Negara Golongan I Tipe C Permanen,Rumah Jabatan Eselon 3,90,Baik,Rumah Jabatan Eselon 3 90,2012-04-04,"239.562.000,00",199186380,Digunakan sendiri untuk operasional,,,"Perumahan Surya Inti Permata (Desa Wedi, Gedangan, Sidoarjo)",,Betro,Sedati,KAB. SIDOARJO,JAWA TIMUR,"0,5",E1063837C503DA50E0531261F20A2937,BMN PREFEREN NOMINATIF,3,"0,5",,"469781,082"
193,RUMAH NEGARA,004010500450800000KD,BPK PERWAKILAN PROVINSI JAWA TIMUR,4010201010,16,Rumah Negara Golongan I Tipe D Permanen,Rumah Jabatan Eselon 4,,Baik,Rumah Jabatan Eselon 4,2011-12-06,"182.091.000,00",151052760,Digunakan sendiri untuk operasional,,,Perumahan Juanda Regency Nomor D-04,,Pabean,Sedati,KAB. SIDOARJO,JAWA TIMUR,"0,5",E1063837C502DA50E0531261F20A2937,BMN PREFEREN NOMINATIF,3,"0,5",,"357080,451"
194,RUMAH NEGARA,004010500450800000KD,BPK PERWAKILAN PROVINSI JAWA TIMUR,4010201010,17,Rumah Negara Golongan I Tipe D Permanen,Rumah Jabatan Eselon 4,,Baik,Rumah Jabatan Eselon 4,2011-12-06,"182.091.000,00",151052760,Digunakan sendiri untuk operasional,,,Perumahan Juanda Regency Nomor D-05,,Pabean,Sedati,KAB. SIDOARJO,JAWA TIMUR,"0,5",E1063837C4F9DA50E0531261F20A2937,BMN PREFEREN NOMINATIF,3,"0,5",,"357080,451"
196,RUMAH NEGARA,004010500450800000KD,BPK PERWAKILAN PROVINSI JAWA TIMUR,4010201010,19,Rumah Negara Golongan I Tipe D Permanen,Rumah Jabatan Eselon 4,,Baik,Rumah Jabatan Eselon 4,2011-12-06,"182.091.000,00",151052760,Digunakan sendiri untuk operasional,,,Perumahan Juanda Regency Nomor D-07,,Pabean,Sedati,KAB. SIDOARJO,JAWA TIMUR,"0,5",E1063837C4E9DA50E0531261F20A2937,BMN PREFEREN NOMINATIF,3,"0,5",,"357080,451"
197,RUMAH NEGARA,004010500450800000KD,BPK PERWAKILAN PROVINSI JAWA TIMUR,4010201010,20,Rumah Negara Golongan I Tipe D Permanen,Rumah Jabatan Eselon 4,,Baik,Rumah Jabatan Eselon 4,2011-12-06,"182.091.000,00",151052760,Digunakan sendiri untuk operasional,,,Perumahan Juanda Regency Nomor D-08,,Pabean,Sedati,KAB. SIDOARJO,JAWA TIMUR,"0,5",E1063837C4FFDA50E0531261F20A2937,BMN PREFEREN NOMINATIF,3,"0,5",,"357080,451"
198,RUMAH NEGARA,004010500450800000KD,BPK PERWAKILAN PROVINSI JAWA TIMUR,4010201010,21,Rumah Negara Golongan I Tipe D Permanen,Rumah Jabatan Eselon 4,,Baik,Rumah Jabatan Eselon 4,2011-12-06,"182.091.000,00",151052760,Digunakan sendiri untuk operasional,,,Perumahan Juanda Regency Nomor D-09,,Pabean,Sedati,KAB. SIDOARJO,JAWA TIMUR,"0,5",E1063837C501DA50E0531261F20A2937,BMN PREFEREN NOMINATIF,3,"0,5",,"357080,451"
199,RUMAH NEGARA,004010500450800000KD,BPK PERWAKILAN PROVINSI JAWA TIMUR,4010201010,22,Rumah Negara Golongan I Tipe D Permanen,Rumah Jabatan Eselon 4,,Baik,Rumah Jabatan Eselon 4,2011-12-06,"182.091.000,00",151052760,Digunakan sendiri untuk operasional,,,Perumahan Juanda Regency Nomor D-10,,Pabean,Sedati,KAB. SIDOARJO,JAWA TIMUR,"0,5",E1063837C4FADA50E0531261F20A2937,BMN PREFEREN NOMINATIF,3,"0,5",,"357080,451"
201,RUMAH NEGARA,004010500450800000KD,BPK PERWAKILAN PROVINSI JAWA TIMUR,4010201010,24,Rumah Negara Golongan I Tipe D Permanen,Rumah Jabatan Eselon 4,,Rusak Ringan,Rumah Jabatan Eselon 4,2011-12-06,"182.091.000,00",151052760,Digunakan sendiri untuk operasional,,,Perumahan Juanda Regency Nomor D-16,,Pabean,Sedati,KAB. SIDOARJO,JAWA TIMUR,"0,5",E1063837C4EADA50E0531261F20A2937,BMN PREFEREN NOMINATIF,3,"0,5",,"357080,451"
202,RUMAH NEGARA,004010500450800000KD,BPK PERWAKILAN PROVINSI JAWA TIMUR,4010201010,25,Rumah Negara Golongan I Tipe D Permanen,Rumah Jabatan Eselon 4,,Rusak Ringan,Rumah Jabatan Eselon 4,2011-12-06,"182.091.000,00",151052760,Digunakan sendiri untuk operasional,,,Perumahan Juanda Regency Nomor D-17,,Pabean,Sedati,KAB. SIDOARJO,JAWA TIMUR,"0,5",E1063837C4FEDA50E0531261F20A2937,BMN PREFEREN NOMINATIF,3,"0,5",,"357080,451"
208,RUMAH NEGARA,004010600450774000KD,BPK Perwakilan Provinsi Aceh,4010201007,2,Rumah Negara Golongan I Tipe C Permanen,RJ ES III KASUBAUD ACEH II,70,Baik,RJ ES III KASUBAUD ACEH II 70,2007-11-15,"158.227.000,00",128559437,Digunakan sendiri untuk operasional,,,TEUKU UMAR LR KESEHATAN,-,GEUCEU KAYEE JATO,BANDA RAYA,KOTA BANDA ACEH,NANGGROE ACEH DARUSSALAM,"0,5",E10638163E2C3B6CE0531561F20AC903,BMN PREFEREN NOMINATIF,3,"0,5",,"310283,147"
209,RUMAH NEGARA,004010600450774000KD,BPK Perwakilan Provinsi Aceh,4010201007,3,Rumah Negara Golongan I Tipe C Permanen,RJ ES III KASUBAUD ACEH I,70,Baik,RJ ES III KASUBAUD ACEH I 70,2007-11-15,"158.227.000,00",128559437,Digunakan sendiri untuk operasional,,,TEUKU UMAR LR KESEHATAN,-,GEUCEU KAYEE JATO,BANDA RAYA,KOTA BANDA ACEH,NANGGROE ACEH DARUSSALAM,"0,5",E10638163E2D3B6CE0531561F20AC903,BMN PREFEREN NOMINATIF,3,"0,5",,"310283,147"
222,RUMAH NEGARA,004010751003051000KD,BPK Perwakilan Provinsi Sumatera Utara,4010201007,2,Rumah Negara Golongan I Tipe C Permanen,Rumah Dinas,,Baik,Rumah Dinas,1984-07-30,"127.086.000,00",71018646,Digunakan sendiri untuk operasional,,,Jl. Taska No. 2,01/01,Helvetia Timur,Helvetia Timur,KOTA MEDAN,SUMATERA UTARA,"0,5",E106384827333F88E0531661F20A2985,BMN PREFEREN NOMINATIF,3,"0,5",,"249215,646"
223,RUMAH NEGARA,004010751003051000KD,BPK Perwakilan Provinsi Sumatera Utara,4010201007,4,Rumah Negara Golongan I Tipe C Permanen,Rumah Dinas,,Baik,Rumah Dinas,1984-07-30,"127.086.000,00",71018646,Digunakan sendiri untuk operasional,,,Jl. Taska No. 12,01/01,Helvetia Timur,Helvetia Timur,KOTA MEDAN,SUMATERA UTARA,"0,5",E106384827473F88E0531661F20A2985,BMN PREFEREN NOMINATIF,3,"0,5",,"249215,646"
237,RUMAH NEGARA,004010751003051000KD,BPK Perwakilan Provinsi Sumatera Utara,4010201010,16,Rumah Negara Golongan I Tipe D Permanen,,Permanen Luks,Baik,Permanen Luks,1984-07-30,"203.753.700,00",157677239,Digunakan sendiri untuk operasional,,,Jl. Taska No. 20,,Helvetia Timur,Helvetia Timur,KOTA MEDAN,SUMATERA UTARA,"0,5",E106384827283F88E0531661F20A2985,BMN PREFEREN NOMINATIF,3,"0,5",,"399561,0057"
239,RUMAH NEGARA,004010751003051000KD,BPK Perwakilan Provinsi Sumatera Utara,4010202016,1,Rumah Negara Golongan II Berupa Mess/Asrama,Mess Pegawai,-,Baik,Mess Pegawai -,2015-10-12,"7.172.691.000,00",6119555563,Digunakan sendiri untuk operasional,,,Jl. Arias,00/00,Helvetia Timur,Medan Helvetia,KOTA MEDAN,SUMATERA UTARA,"0,5",E106384827273F88E0531661F20A2985,BMN PREFEREN NOMINATIF,3,"0,5",,"14065647,05"
241,RUMAH NEGARA,004010800890572000KD,BPK PERWAKILAN PROVINSI SUMATERA BARAT,4010201007,1,Rumah Negara Golongan I Tipe C Permanen,RUJAB ES III,C Permanen,Baik,RUJAB ES III C Permanen,2014-12-31,"594.888.000,00","5,00E+08",Digunakan sendiri untuk operasional,,,Perumahan Green Riverside Blok A/2,002/VII,Koto Baru,Lubuk Begalung,KOTA PADANG,SUMATERA BARAT,"0,5",E2AA275C590F2B74E0531561F20A28CD,BMN PREFEREN NOMINATIF,3,"0,5",,"1166575,368"
247,RUMAH NEGARA,004010800890572000KD,BPK PERWAKILAN PROVINSI SUMATERA BARAT,4010201010,4,Rumah Negara Golongan I Tipe D Permanen,RUJAB ES IV,D Permanen,Baik,RUJAB ES IV D Permanen,2014-12-31,"229.534.000,00",192906235,Digunakan sendiri untuk operasional,,,Komp. Green Riverside Blok F-8,002/VII,Koto Baru,Lubuk Begalung,KOTA PADANG,SUMATERA BARAT,"0,5",E2AA275C59042B74E0531561F20A28CD,BMN PREFEREN NOMINATIF,3,"0,5",,"450116,174"
257,RUMAH NEGARA,004010900450780000KD,BPK PERWAKILAN PROVINSI RIAU,4010201010,3,Rumah Negara Golongan I Tipe D Permanen,Rumah eselon IV,54,Baik,Rumah eselon IV 54,2012-12-06,"216.463.078,00",185870662,Digunakan sendiri untuk operasional,,,Jl. Rawa Wiri,-/-/-,Tangkerang labuai,Bukit raya,KOTA PEKANBARU,RIAU,"0,5",E10638580CC13C57E0531561F20AF428,BMN PREFEREN NOMINATIF,3,"0,5",,"424484,096"
259,RUMAH NEGARA,004010900450780000KD,BPK PERWAKILAN PROVINSI RIAU,4010201010,5,Rumah Negara Golongan I Tipe D Permanen,Rumah eselon IV,54,Baik,Rumah eselon IV 54,2012-12-06,"216.463.078,00",185870662,Digunakan sendiri untuk operasional,,,Jl. Rawa Wiri,-/-/-,Tangkerang Labuai,Bukit Raya,KOTA PEKANBARU,RIAU,"0,5",E10638580CC63C57E0531561F20AF428,BMN PREFEREN NOMINATIF,3,"0,5",,"424484,096"
260,RUMAH NEGARA,004010900450780000KD,BPK PERWAKILAN PROVINSI RIAU,4010201010,6,Rumah Negara Golongan I Tipe D Permanen,Rumah eselon IV,54,Baik,Rumah eselon IV 54,2012-12-06,"216.463.078,00",185870662,Digunakan sendiri untuk operasional,,,Jl. Rawa Wiri,-/-/,Tangkerang Labuai,Bukit Raya,KOTA PEKANBARU,RIAU,"0,5",E10638580CCB3C57E0531561F20AF428,BMN PREFEREN NOMINATIF,3,"0,5",,"424484,096"
262,RUMAH NEGARA,004010900450780000KD,BPK PERWAKILAN PROVINSI RIAU,4010201010,8,Rumah Negara Golongan I Tipe D Permanen,Rumah eselon IV,54,Baik,Rumah eselon IV 54,2012-12-06,"216.463.078,00",185870662,Digunakan sendiri untuk operasional,,,Jl. Rawa Wiri,-/-/-,Tangkerang Labuai,Bukit Raya,KOTA PEKANBARU,RIAU,"0,5",E10638580CC23C57E0531561F20AF428,BMN PREFEREN NOMINATIF,3,"0,5",,"424484,096"
263,RUMAH NEGARA,004010900450780000KD,BPK PERWAKILAN PROVINSI RIAU,4010202016,1,Rumah Negara Golongan II Berupa Mess/Asrama,Mess Cemara,,Baik,Mess Cemara,2006-12-28,"1.529.211.000,00",1235131965,Digunakan sendiri untuk operasional,,,Jl. Cemara Ujung Gg. Thayibbah No. 5a,,,Sail Kota,KOTA PEKANBARU,RIAU,"0,5",E10638580CD03C57E0531561F20AF428,BMN PREFEREN NOMINATIF,3,"0,5",,"2998782,771"
267,RUMAH NEGARA,004011000445243000KD,BPK PERWAKILAN PROVINSI JAMBI,4010201007,2,Rumah Negara Golongan I Tipe C Permanen,rumah dinas eselon III,C Permanen,Baik,rumah dinas eselon III C Permanen,2012-10-16,"302.745.000,00",252287505,Digunakan sendiri untuk operasional,,,TELAGA,,SELAMAT,TELANAI PURA,JAMBI,JAMBI,"0,5",E106387BD9D2DACDE0531261F20A13C9,BMN PREFEREN NOMINATIF,3,"0,5",,"593682,945"
268,RUMAH NEGARA,004011000445243000KD,BPK PERWAKILAN PROVINSI JAMBI,4010201007,3,Rumah Negara Golongan I Tipe C Permanen,RUMAH DINAS ESELON III,C PERMANEN,Baik,RUMAH DINAS ESELON III C PERMANEN,2012-10-16,"302.745.000,00",252287505,Digunakan sendiri untuk operasional,,,TELAGA,,SELAMAT,TELANAI PURA,JAMBI,JAMBI,"0,5",E106387BD9CADACDE0531261F20A13C9,BMN PREFEREN NOMINATIF,3,"0,5",,"593682,945"
273,RUMAH NEGARA,004011000445243000KD,BPK PERWAKILAN PROVINSI JAMBI,4010201010,23,Rumah Negara Golongan I Tipe D Permanen,,D Permanen,Baik,D Permanen,2012-12-31,"227.059.000,00",189215830,Digunakan sendiri untuk operasional,,,Telaga Biru No. E.4.5,21,Selamat,Telanaipura,JAMBI,JAMBI,"0,5",E106387BD9D3DACDE0531261F20A13C9,BMN PREFEREN NOMINATIF,3,"0,5",,"445262,699"
275,RUMAH NEGARA,004011100579213000KD,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,4010201004,1,Rumah Negara Golongan I Tipe B Permanen,Rumah Dinas KALAN,120,Baik,Rumah Dinas KALAN 120,2001-11-19,"355.048.000,00",286769542,Digunakan sendiri untuk operasional,,,PUNCAK SEKUNING PALEMBANG,,LOROK PAKJO,ILIR BARAT I,KOTA PALEMBANG,SUMATERA SELATAN,"0,5",E10638649E363C69E0531561F20A24E5,BMN PREFEREN NOMINATIF,3,"0,5",,"696249,128"
282,RUMAH NEGARA,004011100579213000KD,BPK RI PERWAKILAN PROVINSI SUMATERA SELATAN,4010201010,3,Rumah Negara Golongan I Tipe D Permanen,Rumah Dinas Eselon IV,54,Baik,Rumah Dinas Eselon IV 54,2002-11-19,"191.388.000,00",156226422,Digunakan sendiri untuk operasional,,,KOMP. TJ. PENGHARAPAN NO.17 PALEMBANG,039/014,8 ILIR,ILIR TIMUR II,KOTA PALEMBANG,SUMATERA SELATAN,"0,5",E10638649E4B3C69E0531561F20A24E5,BMN PREFEREN NOMINATIF,3,"0,5",,"375311,868"
